,number_of_repetitions,indices
the,2079,"[0, 7, 16, 56, 74, 99, 117, 128, 164, 188, 196, 300, 320, 338, 341, 347, 399, 458, 461, 482, 576, 643, 707, 737, 744, 786, 803, 825, 844, 875, 881, 890, 930, 959, 991, 999, 1045, 1096, 1130, 1230, 1285, 1349, 1352, 1355, 1358, 1362, 1365, 1369, 1393, 1408, 1422, 1463, 1489, 1504, 1526, 1548, 1554, 1581, 1588, 1655, 1665, 1753, 1781, 1795, 1804, 1835, 1842, 1847, 1872, 1893, 1905, 1946, 1949, 1960, 1968, 2043, 2049, 2059, 2078, 2081, 2084, 2128, 2158, 2169, 2176, 2182, 2197, 2212, 2227, 2237, 2241, 2269, 2312, 2403, 2413, 2483, 2488, 2491, 2526, 2568, 2584, 2628, 2651, 2659, 2669, 2673, 2712, 2756, 2806, 2811, 2847, 2875, 2907, 2922, 2929, 2942, 2967, 2981, 2995, 3065, 3135, 3182, 3231, 3248, 3268, 3272, 3283, 3290, 3294, 3316, 3322, 3363, 3392, 3426, 3451, 3508, 3550, 3571, 3590, 3605, 3613, 3618, 3623, 3626, 3630, 3637, 3653, 3665, 3669, 3726, 3729, 3743, 3759, 3763, 3813, 3826, 3841, 3861, 3864, 3893, 3915, 3929, 3969, 3983, 3992, 3996, 4000, 4006, 4010, 4015, 4021, 4026, 4049, 4077, 4095, 4110, 4141, 4152, 4159, 4166, 4178, 4201, 4259, 4268, 4277, 4280, 4283, 4294, 4301, 4308, 4327, 4352, 4376, 4387, 4404, 4510, 4518, 4535, 4556, 4571, 4583, 4586, 4601, 4605, 4614, 4656, 4677, 4708, 4713, 4750, 4808, 4853, 4858, 4862, 4886, 4941, 5020, 5088, 5122, 5158, 5219, 5227, 5248, 5287, 5294, 5303, 5313, 5318, 5329, 5332, 5402, 5420, 5430, 5443, 5489, 5532, 5541, 5545, 5553, 5588, 5619, 5655, 5677, 5722, 5779, 5804, 5873, 5902, 5933, 5939, 5949, 5959, 5966, 5990, 6012, 6051, 6056, 6091, 6115, 6161, 6177, 6201, 6219, 6259, 6349, 6422, 6450, 6460, 6524, 6532, 6555, 6566, 6610, 6620, 6623, 6635, 6642, 6738, 6747, 6794, 6805, 6832, 6862, 6903, 6932, 6968, 6971, 7010, 7021, 7175, 7207, 7268, 7298, 7301, 7308, 7313, 7331, 7341, 7419, 7450, 7491, 7511, 7549, 7720, 7786, 7789, 7808, 7850, 7854, 7868, 7879, 7951, 7976, 8021, 8038, 8041, 8045, 8060, 8068, 8075, 8089, 8154, 8170, 8196, 8225, 8228, 8274, 8343, 8379, 8476, 8491, 8523, 8536, 8546, 8567, 8600, 8603, 8659, 8664, 8685, 8691, 8729, 8755, 8779, 8785, 8805, 8811, 8866, 8917, 8940, 8968, 8989, 8998, 9016, 9020, 9041, 9059, 9064, 9073, 9076, 9100, 9142, 9145, 9162, 9173, 9178, 9182, 9193, 9204, 9222, 9228, 9280, 9348, 9371, 9391, 9398, 9416, 9426, 9465, 9500, 9516, 9540, 9547, 9554, 9571, 9579, 9586, 9605, 9628, 9632, 9636, 9687, 9690, 9699, 9770, 9774, 9791, 9814, 9833, 9854, 9860, 9868, 9928, 9953, 9979, 9985, 9990, 9996, 10001, 10034, 10039, 10061, 10064, 10082, 10087, 10094, 10099, 10104, 10111, 10143, 10148, 10151, 10155, 10159, 10166, 10253, 10276, 10317, 10331, 10360, 10396, 10406, 10428, 10432, 10436, 10477, 10484, 10499, 10502, 10506, 10523, 10533, 10555, 10573, 10577, 10581, 10588, 10612, 10626, 10629, 10635, 10767, 10779, 10798, 10833, 10846, 10852, 10859, 10877, 10881, 10894, 10902, 10915, 10967, 10997, 11018, 11046, 11054, 11061, 11101, 11105, 11108, 11112, 11214, 11229, 11241, 11288, 11306, 11314, 11330, 11334, 11387, 11425, 11428, 11464, 11555, 11573, 11581, 11589, 11633, 11636, 11640, 11643, 11673, 11710, 11739, 11743, 11777, 11798, 11809, 11826, 11849, 11864, 11867, 11884, 11889, 11929, 11933, 12067, 12074, 12131, 12135, 12143, 12208, 12214, 12272, 12286, 12295, 12300, 12316, 12320, 12324, 12343, 12377, 12402, 12412, 12428, 12435, 12449, 12462, 12469, 12483, 12487, 12498, 12514, 12520, 12580, 12586, 12603, 12608, 12612, 12617, 12626, 12639, 12643, 12660, 12726, 12730, 12768, 12774, 12800, 12811, 12820, 12859, 12867, 12877, 12885, 12927, 12938, 12966, 12971, 13002, 13005, 13009, 13012, 13023, 13044, 13096, 13127, 13139, 13176, 13183, 13222, 13341, 13344, 13357, 13362, 13444, 13467, 13515, 13648, 13655, 13708, 13754, 13855, 13869, 13896, 13954, 13959, 13996, 14068, 14134, 14139, 14189, 14193, 14211, 14263, 14279, 14286, 14289, 14477, 14489, 14941, 14991, 15051, 15100, 15235, 15287, 15324, 15369, 15387, 15400, 15415, 15430, 15439, 15443, 15447, 15461, 15489, 15501, 15511, 15561, 15564, 15636, 15662, 15680, 15683, 15700, 15711, 15714, 15734, 15746, 15915, 15924, 16006, 16035, 16041, 16062, 16106, 16116, 16143, 16159, 16206, 16250, 16369, 16380, 16391, 16395, 16399, 16425, 16449, 16489, 16498, 16514, 16561, 16656, 16664, 16820, 16839, 16907, 16920, 16953, 16971, 16991, 17062, 17064, 17076, 17083, 17105, 17110, 17114, 17121, 17142, 17155, 17180, 17183, 17217, 17233, 17238, 17244, 17256, 17263, 17267, 17284, 17288, 17371, 17376, 17415, 17467, 17471, 17473, 17478, 17482, 17577, 17582, 17662, 17684, 17687, 17702, 17744, 17752, 17773, 17777, 17784, 17814, 17928, 17932, 17964, 17993, 17996, 18009, 18012, 18030, 18035, 18046, 18055, 18059, 18062, 18070, 18104, 18110, 18133, 18146, 18150, 18168, 18171, 18192, 18216, 18234, 18249, 18307, 18323, 18329, 18332, 18352, 18381, 18400, 18412, 18416, 18426, 18436, 18465, 18484, 18490, 18542, 18592, 18596, 18603, 18617, 18635, 18680, 18696, 18794, 18901, 18925, 18947, 18956, 18975, 18991, 19061, 19112, 19116, 19123, 19129, 19134, 19186, 19189, 19234, 19262, 19314, 19433, 19440, 19449, 19456, 19558, 19567, 19580, 19604, 19609, 19710, 19754, 19776, 19835, 19878, 20008, 20043, 20090, 20164, 20227, 20239, 20247, 20308, 20387, 20394, 20432, 20442, 20470, 20573, 20614, 20793, 20814, 20893, 20920, 20932, 20962, 20984, 21001, 21028, 21064, 21076, 21088, 21112, 21134, 21140, 21152, 21188, 21210, 21215, 21244, 21316, 21352, 21363, 21388, 21394, 21467, 21477, 21500, 21533, 21541, 21545, 21570, 21573, 21589, 21621, 21638, 21680, 21712, 21727, 21733, 21740, 21743, 21749, 21780, 21819, 21878, 21904, 21917, 21933, 21937, 21954, 21958, 21962, 22020, 22058, 22142, 22206, 22232, 22243, 22255, 22267, 22278, 22284, 22301, 22331, 22527, 22538, 22740, 22758, 22804, 22809, 22849, 22886, 22967, 23103, 23119, 23130, 23150, 23163, 23225, 23231, 23250, 23261, 23293, 23300, 23317, 23342, 23378, 23384, 23421, 23465, 23554, 23609, 23617, 23665, 23718, 23741, 23764, 23799, 23884, 23893, 23904, 23919, 23922, 23943, 23968, 24016, 24104, 24149, 24171, 24185, 24217, 24255, 24260, 24264, 24300, 24311, 24319, 24341, 24361, 24366, 24377, 24408, 24413, 24417, 24425, 24555, 24562, 24566, 24570, 24584, 24616, 24668, 24674, 24709, 24753, 24787, 24796, 24806, 24832, 24845, 24882, 24899, 24918, 24924, 24950, 24954, 24961, 25038, 25062, 25068, 25079, 25131, 25138, 25144, 25163, 25191, 25212, 25230, 25238, 25249, 25255, 25259, 25264, 25275, 25317, 25322, 25338, 25360, 25375, 25381, 25385, 25432, 25437, 25451, 25463, 25490, 25494, 25503, 25506, 25529, 25534, 25551, 25562, 25569, 25572, 25608, 25623, 25682, 25717, 25733, 25739, 25771, 25792, 25806, 25820, 25873, 25912, 25930, 25936, 25954, 25978, 25992, 25996, 26001, 26014, 26017, 26022, 26047, 26054, 26058, 26083, 26102, 26117, 26122, 26128, 26158, 26163, 26173, 26203, 26230, 26288, 26310, 26331, 26377, 26380, 26384, 26411, 26421, 26436, 26452, 26510, 26531, 26540, 26564, 26567, 26639, 26710, 26788, 26791, 26859, 26863, 26867, 26961, 26971, 27015, 27058, 27066, 27071, 27084, 27089, 27099, 27190, 27213, 27245, 27263, 27370, 27388, 27396, 27403, 27407, 27418, 27438, 27445, 27464, 27474, 27486, 27511, 27514, 27553, 27559, 27601, 27609, 27616, 27637, 27652, 27683, 27730, 27733, 27735, 27801, 27819, 27834, 27845, 27858, 27906, 27910, 27919, 27927, 27931, 27935, 27944, 27965, 28018, 28041, 28051, 28062, 28069, 28084, 28094, 28098, 28106, 28169, 28174, 28177, 28182, 28196, 28199, 28235, 28257, 28263, 28271, 28274, 28283, 28367, 28379, 28416, 28477, 28488, 28497, 28531, 28535, 28569, 28595, 28613, 28630, 28645, 28652, 28655, 28658, 28688, 28715, 28718, 28757, 28775, 28778, 28860, 28869, 28872, 28877, 28902, 28926, 28937, 28976, 28980, 28993, 28996, 29011, 29014, 29044, 29049, 29062, 29085, 29158, 29173, 29190, 29204, 29224, 29252, 29263, 29268, 29272, 29297, 29300, 29303, 29306, 29352, 29356, 29363, 29406, 29416, 29469, 29515, 29555, 29582, 29591, 29601, 29761, 29771, 29793, 29821, 29833, 29853, 29869, 29892, 30005, 30048, 30091, 30103, 30125, 30133, 30155, 30192, 30227, 30276, 30308, 30316, 30338, 30353, 30426, 30517, 30558, 30589, 30653, 30677, 30809, 30813, 30822, 30841, 30850, 30867, 30887, 30915, 31022, 31069, 31079, 31132, 31137, 31142, 31147, 31168, 31172, 31176, 31179, 31205, 31216, 31266, 31292, 31385, 31400, 31600, 31612, 31659, 31667, 31711, 31777, 31788, 31793, 31850, 31890, 31895, 31899, 32003, 32046, 32049, 32052, 32071, 32102, 32151, 32207, 32224, 32227, 32239, 32247, 32258, 32261, 32307, 32334, 32386, 32421, 32427, 32430, 32454, 32476, 32479, 32506, 32515, 32520, 32526, 32530, 32543, 32586, 32592, 32598, 32603, 32618, 32644, 32659, 32673, 32694, 32697, 32739, 32748, 32756, 32759, 32765, 32768, 32798, 32827, 32870, 32876, 32904, 32917, 33012, 33024, 33088, 33100, 33144, 33152, 33165, 33172, 33181, 33190, 33207, 33222, 33228, 33256, 33265, 33270, 33306, 33354, 33363, 33374, 33394, 33465, 33480, 33534, 33565, 33573, 33599, 33606, 33610, 33629, 33643, 33684, 33715, 33723, 33727, 33770, 33773, 33778, 33787, 33813, 33817, 33930, 33970, 33979, 33999, 34007, 34022, 34025, 34083, 34091, 34148, 34231, 34242, 34313, 34323, 34333, 34343, 34375, 34411, 34421, 34473, 34478, 34524, 34558, 34570, 34588, 34593, 34598, 34607, 34632, 34648, 34659, 34729, 34732, 34738, 34747, 34810, 34889, 34893, 34955, 34975, 34990, 35076, 35199, 35225, 35512, 35523, 35537, 35557, 35592, 35597, 35601, 35606, 35655, 35782, 35794, 35813, 35816, 35828, 35833, 35845, 35848, 35880, 35911, 35993, 36125, 36156, 36162, 36212, 36220, 36225, 36238, 36250, 36253, 36281, 36346, 36351, 36365, 36368, 36412, 36415, 36431, 36443, 36464, 36501, 36539, 36583, 36624, 36643, 36651, 36676, 36713, 36740, 36744, 36752, 36804, 36812, 36849, 36875, 36916, 36938, 36952, 36964, 36973, 36977, 36990, 36995, 37000, 37055, 37061, 37071, 37085, 37088, 37096, 37121, 37137, 37140, 37158, 37161, 37174, 37195, 37211, 37253, 37269, 37285, 37302, 37318, 37327, 37342, 37373, 37458, 37522, 37534, 37566, 37572, 37576, 37599, 37606, 37608, 37612, 37632, 37690, 37745, 37765, 37773, 37787, 37803, 37820, 37828, 37839, 37901, 37952, 38084, 38186, 38216, 38257, 38273, 38279, 38291, 38331, 38338, 38342, 38360, 38519, 38579, 38584, 38666, 38681, 38694, 38735, 38755, 38822, 38859, 38864, 38892, 38979, 39029, 39076, 39085, 39100, 39131, 39134, 39137, 39141, 39155, 39202, 39231, 39416, 39443, 39459, 39504, 39526, 39535, 39579, 39625, 39636, 39681, 39738, 39760, 39775, 39779, 39823, 39845, 39885, 39897, 39948, 39968, 39993, 40042, 40061, 40087, 40110, 40130, 40308, 40453, 40475, 40487, 40540, 40619, 40623, 40634, 40679, 40759, 41010, 41013, 41027, 41048, 41055, 41169, 41181, 41202, 41210, 41214, 41221, 41234, 41238, 41296, 41303, 41310, 41338, 41380, 41408, 41413, 41423, 41460, 41564, 41590, 41606, 41621, 41642, 41649, 41665, 41671, 41749, 41775, 41913, 41920, 41962, 42002, 42015, 42045, 42150, 42173, 42197, 42206, 42223, 42230, 42252, 42257, 42297, 42354, 42373, 42479, 42489, 42503, 42507, 42537, 42575, 42596, 42656, 42771, 42793, 42805, 42814, 42817, 42820, 42828, 42840, 42846, 42864, 42915, 42929, 42982, 42992, 43000, 43012, 43037, 43047, 43076, 43087, 43090, 43102, 43115, 43171, 43191, 43214, 43219, 43392, 43396, 43424, 43452, 43456, 43462, 43477, 43493, 43516, 43519, 43559, 43568, 43601, 43610, 43619, 43636, 43698, 43709, 43729, 43743, 43746, 43755, 43763, 43775, 43782, 43825, 43856, 43880, 43965, 43981, 44011, 44025, 44044, 44058, 44062, 44098, 44120, 44150, 44163, 44212, 44232, 44270, 44275, 44287, 44299, 44322, 44346, 44356, 44368, 44400, 44430, 44437, 44446, 44457, 44500, 44573, 44595, 44603, 44606, 44624, 44663, 44697, 44719, 44724, 44738, 44754, 44761, 44774, 44777, 44789, 44797, 44806, 44815, 44872, 44881, 44892, 44977, 45009, 45027, 45095, 45098, 45102, 45172, 45180, 45211, 45215, 45267, 45273, 45304, 45391, 45446, 45500, 45568, 45685, 45733, 45793, 45892, 46105, 46120, 46201, 46206, 46223, 46247, 46277, 46318, 46362, 46423, 46453, 46489, 46533, 46562, 46578, 46583, 46600, 46613, 46616, 46619, 46645, 46655, 46667, 46675, 46697, 46754, 46773, 46791, 46803, 46814, 46862, 46873, 46882, 46906, 46944, 46947, 46955, 46993, 47005, 47025, 47029, 47130, 47147, 47157, 47190, 47219, 47226, 47332, 47341, 47372, 47375, 47389, 47402, 47495, 47627, 47682, 47687, 47738, 47777, 47787, 47791, 47942, 47955, 48004, 48125, 48176, 48190, 48195, 48262, 48268, 48342, 48390, 48450, 48453, 48479, 48483, 48521, 48549, 48578, 48655, 48673, 48825, 48848, 48855, 48880, 48998, 49154, 49223, 49231, 49245, 49370, 49387, 49439, 49445, 49475, 49479, 49519, 49543, 49646, 49650, 49696, 49906, 49917, 49941, 49977, 49990, 50014, 50064, 50111, 50115, 50178, 50194, 50212, 50220, 50223, 50259, 50265, 50273, 50282, 50301, 50312, 50320, 50323, 50329, 50343, 50363, 50399, 50441, 50450, 50473, 50490, 50531, 50546, 50550, 50568, 50586, 50598, 50602, 50634, 50641, 50682, 50726, 50739, 50758, 50763, 50796, 50819, 50860, 50862, 50872, 50875, 50907, 50914, 50928, 50943, 50957, 50960, 50972, 50994, 50998, 51003, 51056, 51063, 51075, 51148, 51181, 51209, 51223, 51260, 51310, 51362, 51396, 51419, 51429, 51432, 51437, 51468, 51477, 51556, 51666, 51672, 51676, 51712, 51722, 51812, 51823, 51856, 51879, 51908, 51914, 51917, 51926, 51989, 51997, 52003, 52054, 52094, 52121, 52127, 52133, 52158, 52183, 52188, 52212, 52229, 52238, 52264, 52278, 52284, 52346, 52360, 52364, 52376, 52379, 52630, 52649, 52756, 52769, 52803, 52846, 52868, 52871, 52880, 53003, 53071, 53087, 53155, 53159, 53210, 53215, 53218, 53229, 53254, 53263, 53267, 53282, 53316, 53399, 53402, 53423, 53463, 53485, 53633, 53787, 53808, 53811, 53871, 53896, 53910, 53913, 53944, 53959, 53971, 53984, 54004, 54010, 54037, 54047, 54052, 54056, 54073, 54078, 54131, 54140, 54164, 54176, 54179, 54257, 54265, 54279, 54282, 54314, 54355, 54358, 54363, 54367, 54379, 54393, 54403, 54439, 54474, 54483, 54556, 54562, 54575, 54588, 54616, 54750, 54777, 54811, 54818, 54835, 54872, 54985, 54988, 55014, 55017, 55157, 55200, 55315, 55327, 55359, 55364, 55398, 55453, 55484, 55566, 55593, 55658, 55662, 55679, 55699, 55771, 55787, 55794, 55807, 55814, 55823, 55842, 55857, 55868, 55881, 55887, 55894, 55948, 56042, 56059, 56076, 56115, 56131, 56134, 56139, 56200, 56226, 56263, 56279, 56317, 56322, 56325, 56335, 56346, 56388, 56410]"
story,13,"[1, 210, 708, 1320, 1527, 1549, 1555, 1797, 9453, 17341, 24122, 32208, 38998]"
have,973,"[2, 61, 68, 95, 157, 168, 195, 232, 243, 332, 405, 435, 674, 721, 778, 793, 794, 849, 948, 1060, 1116, 1174, 1179, 1184, 1205, 1232, 1308, 1493, 1811, 1844, 1939, 1954, 1955, 1971, 1997, 2089, 2134, 2189, 2224, 2260, 2322, 2471, 2521, 2557, 2604, 2632, 2639, 2719, 2737, 2753, 2787, 2866, 2880, 2926, 2940, 2941, 2948, 2973, 3003, 3049, 3129, 3314, 3408, 3428, 3686, 3698, 3711, 3779, 3800, 3851, 3935, 3941, 3945, 4028, 4075, 4086, 4136, 4192, 4206, 4218, 4383, 4398, 4484, 4525, 4635, 4641, 4664, 4761, 4775, 4804, 4816, 4865, 5469, 5483, 5717, 5778, 5827, 5872, 5953, 5962, 5971, 6136, 6138, 6307, 6323, 6348, 6491, 6605, 6772, 6828, 6906, 6914, 7073, 7116, 7428, 7515, 7570, 7731, 7811, 7814, 7823, 7832, 7964, 8001, 8047, 8055, 8085, 8107, 8150, 8177, 8199, 8307, 8348, 8501, 8574, 8710, 8718, 8732, 8749, 8795, 8939, 8953, 8981, 9118, 9287, 9297, 9327, 9407, 9599, 9610, 9649, 9749, 9794, 9872, 9956, 9963, 9973, 9993, 10029, 10066, 10196, 10282, 10481, 10587, 10752, 10753, 10770, 10783, 10801, 10848, 10929, 10970, 10977, 11002, 11082, 11176, 11218, 11246, 11291, 11295, 11323, 11366, 11396, 11416, 11445, 11584, 11751, 11758, 11789, 11796, 11837, 11891, 11937, 11960, 11961, 12011, 12023, 12040, 12048, 12053, 12063, 12072, 12172, 12277, 12354, 12361, 12414, 12500, 12524, 12597, 12662, 12691, 12699, 12713, 12788, 12793, 12916, 12982, 12990, 13091, 13114, 13134, 13157, 13165, 13182, 13192, 13201, 13214, 13227, 13243, 13268, 13394, 13450, 13543, 13599, 13706, 13740, 13825, 13929, 14219, 14352, 14372, 14401, 14559, 14582, 14590, 14639, 14678, 14874, 15271, 15316, 15337, 15378, 15396, 15404, 15425, 15504, 15560, 15659, 15750, 15761, 15978, 15990, 16082, 16209, 16239, 16440, 16455, 16509, 16523, 16681, 16849, 16858, 16875, 16928, 16959, 16996, 17004, 17017, 17072, 17125, 17148, 17209, 17223, 17300, 17324, 17388, 17427, 17488, 17526, 17537, 17605, 17612, 17695, 17712, 17722, 17755, 17898, 18003, 18041, 18083, 18263, 18357, 18379, 18433, 18477, 18563, 18584, 18607, 18653, 18667, 18674, 18760, 18920, 18931, 19194, 19236, 19242, 19252, 19337, 19863, 19915, 20080, 20233, 20241, 20276, 20543, 20569, 20587, 20605, 20682, 20710, 20761, 20812, 20881, 20897, 20989, 21014, 21019, 21036, 21046, 21093, 21130, 21184, 21217, 21234, 21259, 21273, 21280, 21322, 21332, 21345, 21349, 21380, 21527, 21547, 21580, 21614, 21616, 21626, 21759, 21778, 21800, 21829, 21837, 21882, 22042, 22082, 22094, 22110, 22122, 22139, 22148, 22214, 22223, 22224, 22257, 22273, 22314, 22334, 22347, 22503, 22533, 22562, 22780, 22814, 22919, 23124, 23371, 23374, 23438, 23614, 23678, 23688, 23835, 23864, 24063, 24155, 24213, 24305, 24374, 24430, 24435, 24492, 24574, 24631, 24632, 24672, 24905, 24913, 24957, 24976, 24983, 24989, 24999, 25059, 25082, 25157, 25234, 25236, 25283, 25286, 25409, 25492, 25525, 25628, 25651, 25662, 25675, 25725, 25765, 25825, 25845, 25850, 25862, 25869, 25881, 25951, 25960, 25986, 26032, 26036, 26061, 26093, 26107, 26131, 26218, 26220, 26235, 26260, 26295, 26314, 26320, 26327, 26356, 26606, 26642, 26741, 26747, 26835, 26920, 26931, 26937, 27026, 27130, 27160, 27176, 27183, 27184, 27194, 27233, 27277, 27329, 27334, 27356, 27382, 27409, 27422, 27456, 27460, 27539, 27556, 27571, 27586, 27655, 27884, 27940, 27977, 27996, 28011, 28131, 28186, 28190, 28347, 28355, 28365, 28411, 28425, 28438, 28523, 28609, 28637, 28782, 28826, 28844, 28854, 28883, 28914, 28951, 28989, 29019, 29031, 29054, 29067, 29088, 29095, 29105, 29254, 29322, 29375, 29494, 29528, 29805, 29830, 30075, 30115, 30129, 30163, 30295, 30305, 30356, 30374, 30481, 30490, 30512, 30578, 30593, 30705, 30717, 30894, 30901, 30907, 31025, 31289, 31424, 31492, 31534, 31616, 31642, 31864, 31921, 31999, 32006, 32024, 32076, 32085, 32092, 32130, 32154, 32162, 32179, 32194, 32200, 32201, 32458, 32468, 32492, 32496, 32534, 32549, 32552, 32584, 32595, 32600, 32605, 32611, 32711, 32712, 32732, 32795, 32810, 32831, 32860, 32929, 32931, 32993, 33000, 33003, 33042, 33067, 33081, 33109, 33130, 33196, 33226, 33238, 33245, 33275, 33294, 33450, 33464, 33560, 33665, 33692, 33743, 33821, 33910, 33916, 33927, 33929, 33939, 33959, 34066, 34177, 34202, 34209, 34279, 34325, 34360, 34399, 34407, 34433, 34497, 34498, 34541, 34548, 34549, 34735, 34775, 34813, 34826, 34885, 35071, 35132, 35507, 35581, 35644, 35652, 35778, 35801, 35809, 35819, 35840, 36185, 36208, 36223, 36230, 36272, 36298, 36342, 36399, 36550, 36757, 36810, 36910, 36981, 37046, 37135, 37188, 37250, 37262, 37297, 37350, 37401, 37483, 37521, 37593, 37627, 37650, 37722, 37887, 37910, 37941, 37992, 38181, 38189, 38404, 38410, 38548, 38572, 38690, 38743, 38871, 39004, 39010, 39087, 39176, 39206, 39290, 39297, 39385, 39412, 39474, 39623, 39756, 39785, 39865, 39888, 39921, 40015, 40028, 40058, 40447, 40465, 40508, 40772, 40869, 41163, 41216, 41244, 41358, 41419, 41444, 41446, 41585, 41631, 41655, 41677, 41686, 41743, 41927, 41940, 41942, 41972, 42010, 42021, 42030, 42169, 42191, 42202, 42228, 42314, 42352, 42376, 42394, 42402, 42564, 42638, 42652, 42824, 42866, 42954, 43025, 43053, 43072, 43096, 43106, 43128, 43270, 43284, 43485, 43526, 43547, 43599, 43642, 43652, 43854, 43905, 43987, 43993, 44029, 44072, 44085, 44206, 44348, 44391, 44407, 44538, 44617, 44735, 44743, 44878, 45015, 45122, 45141, 45153, 45187, 45350, 45383, 45482, 45579, 45711, 45722, 45784, 45929, 46014, 46019, 46041, 46069, 46095, 46192, 46250, 46257, 46283, 46299, 46310, 46326, 46398, 46440, 46456, 46478, 46516, 46523, 46546, 46632, 46742, 46749, 46753, 46779, 46806, 46818, 46853, 46895, 46903, 46913, 46951, 47069, 47082, 47106, 47123, 47195, 47215, 47248, 47303, 47456, 47475, 47560, 47571, 47726, 47828, 47921, 47929, 48124, 48180, 48293, 48334, 48410, 48588, 48676, 48692, 48904, 48987, 49073, 49125, 49147, 49393, 49449, 49524, 49539, 49552, 49561, 49640, 49649, 49662, 49722, 49801, 49928, 49968, 49994, 50102, 50124, 50188, 50238, 50252, 50286, 50456, 50511, 50525, 50544, 50572, 50606, 50630, 50652, 50675, 50735, 50752, 50768, 50803, 50804, 50827, 50846, 50868, 50887, 50935, 50937, 50989, 51008, 51009, 51027, 51043, 51080, 51203, 51239, 51279, 51287, 51328, 51343, 51372, 51424, 51442, 51533, 51597, 51655, 51660, 51729, 51741, 51822, 51867, 51928, 51988, 51996, 52001, 52016, 52141, 52168, 52179, 52369, 52402, 52424, 52456, 52482, 52556, 52605, 52615, 52693, 52773, 52909, 53032, 53108, 53111, 53166, 53209, 53224, 53333, 53342, 53415, 53460, 53461, 53619, 53646, 53657, 53666, 53759, 53922, 53924, 53932, 53957, 54123, 54151, 54294, 54342, 54666, 54922, 54960, 55009, 55067, 55138, 55179, 55206, 55305, 55409, 55476, 55493, 55518, 55544, 55706, 56007, 56160, 56256, 56269, 56302, 56355, 56422]"
hold,44,"[3, 3542, 7028, 7166, 8448, 10784, 13077, 13492, 14926, 17667, 18500, 18769, 18844, 19986, 20153, 21023, 25363, 26375, 26951, 27746, 28845, 29519, 30501, 30541, 30552, 30581, 31043, 34016, 38418, 39402, 39542, 39609, 40762, 42755, 44619, 46001, 47435, 48836, 53878, 54136, 54246, 54458, 56373, 56404]"
we,226,"[4, 97, 240, 247, 263, 364, 384, 485, 663, 833, 1115, 1342, 1448, 1646, 1659, 1787, 1815, 1878, 1923, 1930, 1938, 1953, 1976, 2137, 3344, 3600, 3912, 4765, 4915, 5003, 5086, 5100, 5378, 7014, 7396, 7821, 7959, 8415, 8424, 8500, 8708, 9756, 10205, 10446, 10474, 11395, 11474, 11658, 11971, 12291, 13718, 14091, 14454, 15128, 15263, 15270, 15277, 15344, 15523, 15532, 15535, 15647, 15657, 15676, 15743, 15749, 15964, 16947, 16958, 17079, 17508, 17517, 17694, 17799, 17989, 18002, 18040, 18640, 18854, 19615, 19635, 19719, 19932, 20194, 20915, 20924, 20940, 20948, 20988, 21164, 21984, 22210, 23220, 24539, 25577, 25840, 25858, 25867, 26696, 26718, 27555, 28260, 28667, 28674, 28685, 28711, 29091, 29243, 30167, 30385, 30400, 31003, 31034, 31040, 31238, 31854, 31906, 31944, 31955, 31966, 31980, 31998, 32005, 32026, 32368, 33575, 33734, 33738, 33742, 33758, 33824, 33846, 33858, 33884, 33926, 33937, 34102, 34293, 34752, 34998, 35320, 35506, 35541, 35560, 35651, 35777, 35823, 35839, 36037, 36855, 36872, 37969, 38036, 38751, 38908, 39064, 39685, 40400, 41284, 41778, 42273, 42277, 42293, 42313, 42331, 42459, 42925, 43224, 43316, 43324, 43444, 43556, 43808, 43842, 43904, 43959, 43973, 43979, 44104, 44110, 44131, 44148, 44218, 44237, 44249, 44387, 44729, 44748, 44870, 45626, 45875, 45881, 45911, 45918, 46447, 46455, 47037, 48539, 49411, 49670, 50006, 50307, 50979, 51315, 51413, 51875, 51883, 51930, 51936, 51963, 51981, 51987, 51995, 52000, 52015, 52659, 52937, 53493, 53517, 53522, 53559, 53615, 53919, 56006, 56048, 56406]"
